BENCHMARK,PARALLELISM,NNODES,NTASKSPERNODE,STORAGE,NETWORK,THROUGHPUT
LJ,KOKKOS,8,48,NOSTORAGE,INFINIBAND,0.401
LJ,KOKKOS,16,48,NOSTORAGE,INFINIBAND,1.666
LJ,KOKKOS,32,48,NOSTORAGE,INFINIBAND,3.026
LJ,KOKKOS-NUMA,2,48,NOSTORAGE,INFINIBAND,0.342
LJ,KOKKOS-NUMA,4,48,NOSTORAGE,INFINIBAND,1.034
LJ,KOKKOS-NUMA,8,48,NOSTORAGE,INFINIBAND,2.021
LJ,KOKKOS-NUMA,16,48,NOSTORAGE,INFINIBAND,3.470
LJ,KOKKOS-NUMA,32,48,NOSTORAGE,INFINIBAND,6.556
LJ,MPI,1,48,NOSTORAGE,INFINIBAND,0.275
LJ,MPI,2,48,NOSTORAGE,INFINIBAND,0.552
LJ,MPI,4,48,NOSTORAGE,INFINIBAND,1.088
LJ,MPI,8,48,NOSTORAGE,INFINIBAND,2.147
LJ,MPI,16,48,NOSTORAGE,INFINIBAND,4.079
LJ,MPI,32,48,NOSTORAGE,INFINIBAND,7.937
LJ,OMP,8,48,NOSTORAGE,INFINIBAND,1.530
LJ,OMP,16,48,NOSTORAGE,INFINIBAND,2.911
LJ,OMP,32,48,NOSTORAGE,INFINIBAND,5.591
LJ,OMP-NUMA,2,44,NOSTORAGE,INFINIBAND,0.577
LJ,OMP-NUMA,2,48,LOCAL,INFINIBAND,0.620
LJ,OMP-NUMA,2,48,NOSTORAGE,ETHERNET,0.468
LJ,OMP-NUMA,2,48,NOSTORAGE,INFINIBAND,0.622
LJ,OMP-NUMA,2,48,NOSTORAGE,IPoIB,0.615
LJ,OMP-NUMA,2,48,PFS-SHARDED,INFINIBAND,0.616
LJ,OMP-NUMA,2,48,PFS-SINGLE,INFINIBAND,0.613
LJ,OMP-NUMA,4,44,NOSTORAGE,INFINIBAND,1.122
LJ,OMP-NUMA,4,48,LOCAL,INFINIBAND,1.194
LJ,OMP-NUMA,4,48,NOSTORAGE,ETHERNET,0.716
LJ,OMP-NUMA,4,48,NOSTORAGE,INFINIBAND,1.197
LJ,OMP-NUMA,4,48,NOSTORAGE,IPoIB,1.177
LJ,OMP-NUMA,4,48,PFS-SHARDED,INFINIBAND,1.193
LJ,OMP-NUMA,4,48,PFS-SINGLE,INFINIBAND,1.176
LJ,OMP-NUMA,8,44,NOSTORAGE,INFINIBAND,2.201
LJ,OMP-NUMA,8,48,LOCAL,INFINIBAND,2.345
LJ,OMP-NUMA,8,48,NOSTORAGE,ETHERNET,1.183
LJ,OMP-NUMA,8,48,NOSTORAGE,INFINIBAND,2.353
LJ,OMP-NUMA,8,48,NOSTORAGE,IPoIB,2.294
LJ,OMP-NUMA,8,48,PFS-SHARDED,INFINIBAND,2.352
LJ,OMP-NUMA,8,48,PFS-SINGLE,INFINIBAND,2.270
LJ,OMP-NUMA,16,44,NOSTORAGE,INFINIBAND,4.419
LJ,OMP-NUMA,16,48,LOCAL,INFINIBAND,4.672
LJ,OMP-NUMA,16,48,NOSTORAGE,ETHERNET,1.839
LJ,OMP-NUMA,16,48,NOSTORAGE,INFINIBAND,4.685
LJ,OMP-NUMA,16,48,NOSTORAGE,IPoIB,4.336
LJ,OMP-NUMA,16,48,PFS-SHARDED,INFINIBAND,4.648
LJ,OMP-NUMA,16,48,PFS-SINGLE,INFINIBAND,4.363
LJ,OMP-NUMA,32,44,NOSTORAGE,INFINIBAND,8.545
LJ,OMP-NUMA,32,48,LOCAL,INFINIBAND,8.864
LJ,OMP-NUMA,32,48,NOSTORAGE,ETHERNET,3.006
LJ,OMP-NUMA,32,48,NOSTORAGE,INFINIBAND,8.802
LJ,OMP-NUMA,32,48,NOSTORAGE,IPoIB,8.239
LJ,OMP-NUMA,32,48,PFS-SHARDED,INFINIBAND,8.917
LJ,OMP-NUMA,32,48,PFS-SINGLE,INFINIBAND,7.660
RHODO,MPI,1,48,NOSTORAGE,INFINIBAND,0.310
RHODO,MPI,2,48,NOSTORAGE,INFINIBAND,0.603
RHODO,MPI,4,48,NOSTORAGE,INFINIBAND,1.199
RHODO,MPI,8,48,NOSTORAGE,INFINIBAND,2.239
RHODO,MPI,16,48,NOSTORAGE,INFINIBAND,4.236
RHODO,MPI,32,48,NOSTORAGE,INFINIBAND,7.226
RHODO,OMP,1,48,NOSTORAGE,INFINIBAND,0.200
RHODO,OMP,2,48,NOSTORAGE,INFINIBAND,0.393
RHODO,OMP,4,48,NOSTORAGE,INFINIBAND,0.730
RHODO,OMP,8,48,NOSTORAGE,INFINIBAND,1.398
RHODO,OMP,16,48,NOSTORAGE,INFINIBAND,2.206
RHODO,OMP,32,48,NOSTORAGE,INFINIBAND,3.685
RHODO,OMP-NUMA,1,44,NOSTORAGE,INFINIBAND,0.298
RHODO,OMP-NUMA,1,48,LOCAL,INFINIBAND,0.318
RHODO,OMP-NUMA,1,48,NOSTORAGE,ETHERNET,0.318
RHODO,OMP-NUMA,1,48,NOSTORAGE,INFINIBAND,0.320
RHODO,OMP-NUMA,1,48,NOSTORAGE,IPoIB,0.319
RHODO,OMP-NUMA,1,48,PFS-SHARDED,INFINIBAND,0.320
RHODO,OMP-NUMA,1,48,PFS-SINGLE,INFINIBAND,0.318
RHODO,OMP-NUMA,2,44,NOSTORAGE,INFINIBAND,0.578
RHODO,OMP-NUMA,2,48,LOCAL,INFINIBAND,0.619
RHODO,OMP-NUMA,2,48,NOSTORAGE,ETHERNET,0.338
RHODO,OMP-NUMA,2,48,NOSTORAGE,INFINIBAND,0.617
RHODO,OMP-NUMA,2,48,NOSTORAGE,IPoIB,0.601
RHODO,OMP-NUMA,2,48,PFS-SHARDED,INFINIBAND,0.618
RHODO,OMP-NUMA,2,48,PFS-SINGLE,INFINIBAND,0.619
RHODO,OMP-NUMA,4,44,NOSTORAGE,INFINIBAND,1.154
RHODO,OMP-NUMA,4,48,LOCAL,INFINIBAND,1.226
RHODO,OMP-NUMA,4,48,NOSTORAGE,ETHERNET,0.408
RHODO,OMP-NUMA,4,48,NOSTORAGE,INFINIBAND,1.230
RHODO,OMP-NUMA,4,48,NOSTORAGE,IPoIB,1.160
RHODO,OMP-NUMA,4,48,PFS-SHARDED,INFINIBAND,1.227
RHODO,OMP-NUMA,4,48,PFS-SINGLE,INFINIBAND,1.227
RHODO,OMP-NUMA,8,44,NOSTORAGE,INFINIBAND,2.220
RHODO,OMP-NUMA,8,48,LOCAL,INFINIBAND,2.352
RHODO,OMP-NUMA,8,48,NOSTORAGE,ETHERNET,0.567
RHODO,OMP-NUMA,8,48,NOSTORAGE,INFINIBAND,2.338
RHODO,OMP-NUMA,8,48,NOSTORAGE,IPoIB,2.127
RHODO,OMP-NUMA,8,48,PFS-SHARDED,INFINIBAND,2.335
RHODO,OMP-NUMA,8,48,PFS-SINGLE,INFINIBAND,2.342
RHODO,OMP-NUMA,16,44,NOSTORAGE,INFINIBAND,4.282
RHODO,OMP-NUMA,16,48,LOCAL,INFINIBAND,4.424
RHODO,OMP-NUMA,16,48,NOSTORAGE,ETHERNET,0.964
RHODO,OMP-NUMA,16,48,NOSTORAGE,INFINIBAND,4.482
RHODO,OMP-NUMA,16,48,NOSTORAGE,IPoIB,3.725
RHODO,OMP-NUMA,16,48,PFS-SHARDED,INFINIBAND,4.435
RHODO,OMP-NUMA,16,48,PFS-SINGLE,INFINIBAND,4.413
RHODO,OMP-NUMA,32,44,NOSTORAGE,INFINIBAND,8.052
RHODO,OMP-NUMA,32,48,LOCAL,INFINIBAND,7.824
RHODO,OMP-NUMA,32,48,NOSTORAGE,ETHERNET,1.793
RHODO,OMP-NUMA,32,48,NOSTORAGE,INFINIBAND,7.934
RHODO,OMP-NUMA,32,48,NOSTORAGE,IPoIB,5.851
RHODO,OMP-NUMA,32,48,PFS-SHARDED,INFINIBAND,7.808
RHODO,OMP-NUMA,32,48,PFS-SINGLE,INFINIBAND,7.546
